task,episode,step,joint_name,position
pick up the black bowl between the plate and the ramekin and place it on the plate,32,206,robot0_joint2,1.6083117538071132
pick up the black bowl between the plate and the ramekin and place it on the plate,32,207,robot0_joint2,1.6411513816941052
pick up the black bowl between the plate and the ramekin and place it on the plate,32,208,robot0_joint2,1.668297187430944
pick up the black bowl between the plate and the ramekin and place it on the plate,32,209,robot0_joint2,1.6906454773705397
pick up the black bowl between the plate and the ramekin and place it on the plate,32,210,robot0_joint2,1.7103970318040005
pick up the black bowl between the plate and the ramekin and place it on the plate,32,211,robot0_joint2,1.7263013598323569
pick up the black bowl between the plate and the ramekin and place it on the plate,32,212,robot0_joint2,1.739307997607517
pick up the black bowl between the plate and the ramekin and place it on the plate,32,213,robot0_joint2,1.7520594402955174
pick up the black bowl between the plate and the ramekin and place it on the plate,32,214,robot0_joint2,1.7621099967828078
pick up the black bowl between the plate and the ramekin and place it on the plate,32,215,robot0_joint2,1.7635805937912277
pick up the black bowl between the plate and the ramekin and place it on the plate,32,216,robot0_joint2,1.76326292332513
pick up the black bowl between the plate and the ramekin and place it on the plate,32,217,robot0_joint2,1.7631313945414415
pick up the black bowl between the plate and the ramekin and place it on the plate,32,218,robot0_joint2,1.7630159077585097
pick up the black bowl between the plate and the ramekin and place it on the plate,32,219,robot0_joint2,1.7612718102126697
pick up the black bowl between the plate and the ramekin and place it on the plate,32,220,robot0_joint2,1.7422439624422568
pick up the black bowl next to the ramekin and place it on the plate,26,108,robot0_joint2,1.6249829307127504
pick up the black bowl next to the ramekin and place it on the plate,26,108,robot0_joint4,-0.21533361664208756
pick up the black bowl next to the ramekin and place it on the plate,26,109,robot0_joint2,1.6677787365701369
pick up the black bowl next to the ramekin and place it on the plate,26,109,robot0_joint4,-0.062336126659715906
pick up the black bowl next to the ramekin and place it on the plate,26,110,robot0_joint2,1.6712844936459876
pick up the black bowl next to the ramekin and place it on the plate,26,110,robot0_joint4,-0.059689061460393406
pick up the black bowl next to the ramekin and place it on the plate,26,111,robot0_joint2,1.6573474507758497
pick up the black bowl next to the ramekin and place it on the plate,26,111,robot0_joint4,-0.09513946032006797
pick up the black bowl next to the ramekin and place it on the plate,26,112,robot0_joint2,1.6359279822334507
pick up the black bowl next to the ramekin and place it on the plate,26,112,robot0_joint4,-0.15986132733335023
pick up the black bowl next to the ramekin and place it on the plate,26,113,robot0_joint2,1.6124265398712687
pick up the black bowl next to the ramekin and place it on the plate,26,114,robot0_joint2,1.5890515196138353
pick up the black bowl next to the ramekin and place it on the plate,26,150,robot0_joint2,1.5983637000489581
pick up the black bowl next to the ramekin and place it on the plate,26,151,robot0_joint2,1.6300308543230289
pick up the black bowl next to the ramekin and place it on the plate,26,152,robot0_joint2,1.6572709906269594
pick up the black bowl next to the ramekin and place it on the plate,26,153,robot0_joint2,1.6756395882194068
pick up the black bowl next to the ramekin and place it on the plate,26,154,robot0_joint2,1.67510027867321
pick up the black bowl next to the ramekin and place it on the plate,26,155,robot0_joint2,1.6681749193955613
pick up the black bowl next to the ramekin and place it on the plate,26,156,robot0_joint2,1.6580748819698492
pick up the black bowl next to the ramekin and place it on the plate,26,157,robot0_joint2,1.6465820008748928
pick up the black bowl next to the ramekin and place it on the plate,26,158,robot0_joint2,1.6322081567952982
pick up the black bowl next to the ramekin and place it on the plate,26,159,robot0_joint2,1.6148099896915884
pick up the black bowl next to the ramekin and place it on the plate,26,160,robot0_joint2,1.5951802088765117
pick up the black bowl next to the ramekin and place it on the plate,26,166,robot0_joint2,1.5907435520358697
pick up the black bowl next to the ramekin and place it on the plate,26,167,robot0_joint2,1.5986204188156299
pick up the black bowl next to the ramekin and place it on the plate,26,168,robot0_joint2,1.6075035800936175
pick up the black bowl next to the ramekin and place it on the plate,26,169,robot0_joint2,1.6186031855281058
pick up the black bowl next to the ramekin and place it on the plate,26,170,robot0_joint2,1.6315799432389426
pick up the black bowl next to the ramekin and place it on the plate,26,171,robot0_joint2,1.6320744970803478
pick up the black bowl next to the ramekin and place it on the plate,26,172,robot0_joint2,1.6176514878128676
pick up the black bowl next to the ramekin and place it on the plate,26,173,robot0_joint2,1.5955274431821889
pick up the black bowl next to the ramekin and place it on the plate,26,185,robot0_joint5,2.6565342861775068
pick up the black bowl next to the ramekin and place it on the plate,26,186,robot0_joint5,2.64925850894688
pick up the black bowl next to the ramekin and place it on the plate,26,212,robot0_joint2,1.6146470616993014
pick up the black bowl next to the ramekin and place it on the plate,26,213,robot0_joint2,1.644018378947866
pick up the black bowl next to the ramekin and place it on the plate,26,214,robot0_joint2,1.6558654052663335
pick up the black bowl next to the ramekin and place it on the plate,26,215,robot0_joint2,1.66216534357052
pick up the black bowl next to the ramekin and place it on the plate,26,216,robot0_joint2,1.6674864071928175
pick up the black bowl next to the ramekin and place it on the plate,26,217,robot0_joint2,1.6677212319053976
pick up the black bowl next to the ramekin and place it on the plate,26,218,robot0_joint2,1.6654664679449924
pick up the black bowl next to the ramekin and place it on the plate,26,218,robot0_joint5,2.6124242738696073
pick up the black bowl next to the ramekin and place it on the plate,26,219,robot0_joint2,1.660261927634599
pick up the black bowl next to the ramekin and place it on the plate,26,219,robot0_joint5,2.6642201578643463
pick up the black bowl next to the ramekin and place it on the plate,26,220,robot0_joint2,1.6525507903470191
pick up the black bowl next to the ramekin and place it on the plate,26,220,robot0_joint5,2.7181860119995243
pick up the black bowl next to the ramekin and place it on the plate,33,51,robot0_joint7,2.6288479460004557
pick up the black bowl next to the ramekin and place it on the plate,33,52,robot0_joint7,2.6620270252227836
pick up the black bowl next to the ramekin and place it on the plate,33,53,robot0_joint7,2.6885264614016613
pick up the black bowl next to the ramekin and place it on the plate,33,54,robot0_joint7,2.7075057009276255
pick up the black bowl next to the ramekin and place it on the plate,33,55,robot0_joint7,2.7187118787580187
pick up the black bowl next to the ramekin and place it on the plate,33,56,robot0_joint7,2.7221542222338826
pick up the black bowl next to the ramekin and place it on the plate,33,57,robot0_joint7,2.721114984110284
pick up the black bowl next to the ramekin and place it on the plate,33,58,robot0_joint7,2.718099762432402
pick up the black bowl next to the ramekin and place it on the plate,33,59,robot0_joint7,2.7138941026078585
pick up the black bowl next to the ramekin and place it on the plate,33,60,robot0_joint7,2.7086955407930136
pick up the black bowl next to the ramekin and place it on the plate,33,61,robot0_joint7,2.7056440322826987
pick up the black bowl next to the ramekin and place it on the plate,33,62,robot0_joint7,2.7036936688450592
pick up the black bowl next to the ramekin and place it on the plate,33,63,robot0_joint7,2.7001841893598773
pick up the black bowl next to the ramekin and place it on the plate,33,64,robot0_joint7,2.6942268543224532
pick up the black bowl next to the ramekin and place it on the plate,33,65,robot0_joint7,2.685415021689748
pick up the black bowl next to the ramekin and place it on the plate,33,66,robot0_joint7,2.673039374364168
pick up the black bowl next to the ramekin and place it on the plate,33,67,robot0_joint7,2.6558521738906835
pick up the black bowl next to the ramekin and place it on the plate,33,68,robot0_joint7,2.63245522266349
pick up the black bowl next to the ramekin and place it on the plate,34,53,robot0_joint7,2.627500183159661
pick up the black bowl next to the ramekin and place it on the plate,34,54,robot0_joint7,2.652057520596846
pick up the black bowl next to the ramekin and place it on the plate,34,55,robot0_joint7,2.670608087358068
pick up the black bowl next to the ramekin and place it on the plate,34,56,robot0_joint7,2.6844077275461475
pick up the black bowl next to the ramekin and place it on the plate,34,57,robot0_joint7,2.6939384912278532
pick up the black bowl next to the ramekin and place it on the plate,34,58,robot0_joint7,2.6991466330186307
pick up the black bowl next to the ramekin and place it on the plate,34,59,robot0_joint7,2.7007879460677215
pick up the black bowl next to the ramekin and place it on the plate,34,60,robot0_joint7,2.6996806865827465
pick up the black bowl next to the ramekin and place it on the plate,34,61,robot0_joint7,2.6978383976775198
pick up the black bowl next to the ramekin and place it on the plate,34,62,robot0_joint7,2.6953307409782115
pick up the black bowl next to the ramekin and place it on the plate,34,63,robot0_joint7,2.691428143554704
pick up the black bowl next to the ramekin and place it on the plate,34,64,robot0_joint7,2.6861979654681054
pick up the black bowl next to the ramekin and place it on the plate,34,65,robot0_joint7,2.6796940519191033
pick up the black bowl next to the ramekin and place it on the plate,34,66,robot0_joint7,2.6728796317387737
pick up the black bowl next to the ramekin and place it on the plate,34,67,robot0_joint7,2.6653198915482186
pick up the black bowl next to the ramekin and place it on the plate,34,68,robot0_joint7,2.6558437653231044
pick up the black bowl next to the ramekin and place it on the plate,34,69,robot0_joint7,2.6430520824826687
pick up the black bowl next to the ramekin and place it on the plate,34,70,robot0_joint7,2.6253777545765407
pick up the black bowl next to the ramekin and place it on the plate,38,57,robot0_joint7,2.6186047781487902
pick up the black bowl next to the ramekin and place it on the plate,38,58,robot0_joint7,2.634675405275209
pick up the black bowl next to the ramekin and place it on the plate,38,59,robot0_joint7,2.6459671830251326
pick up the black bowl next to the ramekin and place it on the plate,38,60,robot0_joint7,2.6531583411890027
pick up the black bowl next to the ramekin and place it on the plate,38,61,robot0_joint7,2.656657272185047
pick up the black bowl next to the ramekin and place it on the plate,38,62,robot0_joint7,2.656390845257484
pick up the black bowl next to the ramekin and place it on the plate,38,63,robot0_joint7,2.653249473707273
pick up the black bowl next to the ramekin and place it on the plate,38,64,robot0_joint7,2.6485528174400574
pick up the black bowl next to the ramekin and place it on the plate,38,65,robot0_joint7,2.6432752047836456
pick up the black bowl next to the ramekin and place it on the plate,38,66,robot0_joint7,2.6379119271579445
pick up the black bowl next to the ramekin and place it on the plate,38,67,robot0_joint7,2.6323591484046527
pick up the black bowl next to the ramekin and place it on the plate,38,68,robot0_joint7,2.6264545053890864
pick up the black bowl next to the ramekin and place it on the plate,38,69,robot0_joint7,2.6199366629760084
pick up the black bowl next to the ramekin and place it on the plate,38,70,robot0_joint7,2.612474922152494
pick up the black bowl next to the ramekin and place it on the plate,40,52,robot0_joint7,2.624129541650961
pick up the black bowl next to the ramekin and place it on the plate,40,53,robot0_joint7,2.640266163713949
pick up the black bowl next to the ramekin and place it on the plate,40,54,robot0_joint7,2.64565342701999
pick up the black bowl next to the ramekin and place it on the plate,40,55,robot0_joint7,2.6440042637099137
pick up the black bowl next to the ramekin and place it on the plate,40,56,robot0_joint7,2.6374743316119567
pick up the black bowl next to the ramekin and place it on the plate,40,57,robot0_joint7,2.6291102001030486
