task,episode,step,colliding_geom
pick up the black bowl between the plate and the ramekin and place it on the plate,4,185,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,4,189,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,4,191,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,4,193,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,147,plate_1_g7
pick up the black bowl between the plate and the ramekin and place it on the plate,15,150,plate_1_g7
pick up the black bowl between the plate and the ramekin and place it on the plate,15,151,plate_1_g6
pick up the black bowl between the plate and the ramekin and place it on the plate,15,151,plate_1_g7
pick up the black bowl between the plate and the ramekin and place it on the plate,15,151,plate_1_g1
pick up the black bowl between the plate and the ramekin and place it on the plate,15,152,plate_1_g9
pick up the black bowl between the plate and the ramekin and place it on the plate,15,152,plate_1_g6
pick up the black bowl between the plate and the ramekin and place it on the plate,15,152,plate_1_g7
pick up the black bowl between the plate and the ramekin and place it on the plate,15,152,plate_1_g1
pick up the black bowl between the plate and the ramekin and place it on the plate,15,153,plate_1_g9
pick up the black bowl between the plate and the ramekin and place it on the plate,15,153,plate_1_g6
pick up the black bowl between the plate and the ramekin and place it on the plate,15,153,akita_black_bowl_1_g23
pick up the black bowl between the plate and the ramekin and place it on the plate,15,153,akita_black_bowl_1_g24
pick up the black bowl between the plate and the ramekin and place it on the plate,15,153,plate_1_g7
pick up the black bowl between the plate and the ramekin and place it on the plate,15,153,plate_1_g1
pick up the black bowl between the plate and the ramekin and place it on the plate,15,154,plate_1_g9
pick up the black bowl between the plate and the ramekin and place it on the plate,15,154,plate_1_g6
pick up the black bowl between the plate and the ramekin and place it on the plate,15,154,akita_black_bowl_1_g23
pick up the black bowl between the plate and the ramekin and place it on the plate,15,154,akita_black_bowl_1_g24
pick up the black bowl between the plate and the ramekin and place it on the plate,15,154,plate_1_g7
pick up the black bowl between the plate and the ramekin and place it on the plate,15,154,plate_1_g1
pick up the black bowl between the plate and the ramekin and place it on the plate,15,155,plate_1_g6
pick up the black bowl between the plate and the ramekin and place it on the plate,15,155,plate_1_g7
pick up the black bowl between the plate and the ramekin and place it on the plate,15,155,plate_1_g1
pick up the black bowl between the plate and the ramekin and place it on the plate,15,156,plate_1_g6
pick up the black bowl between the plate and the ramekin and place it on the plate,15,156,plate_1_g7
pick up the black bowl between the plate and the ramekin and place it on the plate,15,156,plate_1_g1
pick up the black bowl between the plate and the ramekin and place it on the plate,15,157,plate_1_g6
pick up the black bowl between the plate and the ramekin and place it on the plate,15,157,plate_1_g7
pick up the black bowl between the plate and the ramekin and place it on the plate,15,157,plate_1_g1
pick up the black bowl between the plate and the ramekin and place it on the plate,15,158,plate_1_g9
pick up the black bowl between the plate and the ramekin and place it on the plate,15,158,plate_1_g10
pick up the black bowl between the plate and the ramekin and place it on the plate,15,158,plate_1_g1
pick up the black bowl between the plate and the ramekin and place it on the plate,15,159,plate_1_g9
pick up the black bowl between the plate and the ramekin and place it on the plate,15,159,plate_1_g1
pick up the black bowl between the plate and the ramekin and place it on the plate,15,160,plate_1_g4
pick up the black bowl between the plate and the ramekin and place it on the plate,15,167,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,168,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,169,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,176,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,178,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,179,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,180,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,182,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,183,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,184,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,185,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,186,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,187,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,188,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,189,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,190,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,191,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,192,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,193,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,194,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,195,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,196,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,197,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,198,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,199,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,200,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,201,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,202,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,203,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,204,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,205,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,206,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,207,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,208,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,209,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,210,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,211,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,212,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,213,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,214,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,215,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,216,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,217,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,218,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,219,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,15,220,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,30,195,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,30,196,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,30,197,table_collision
